Płeć,Kategoria wiekowa,5 km Czas,5 km Tempo,10 km Czas,10 km Tempo,15 km Czas,15 km Tempo,20 km Czas,20 km Tempo,Tempo Stabilność,Czas,Tempo
M,M30,971.0,3.2366666666666664,1930.0,3.1966666666666668,2929.0,3.33,4014.0,3.6166666666666663,0.0254666666666667,4216.0,3.3309631034210323
M,M20,972.0,3.24,1955.0,3.2766666666666664,2971.0,3.3866666666666663,4047.0,3.5866666666666664,0.023,4227.0,3.3396539464328043
M,M40,969.0,3.23,1950.0,3.27,2971.0,3.4033333333333333,4048.0,3.5900000000000003,0.0242666666666666,4234.0,3.345184482894841
M,M20,937.0,3.123333333333333,1885.0,3.16,2898.0,3.3766666666666665,4058.0,3.8666666666666663,0.0489333333333333,4278.0,3.3799478549419297
M,M30,990.0,3.3,1975.0,3.283333333333333,2997.0,3.4066666666666667,4098.0,3.67,0.0246666666666667,4302.0,3.398909694240342
M,M20,1030.0,3.433333333333333,2063.0,3.4433333333333334,3131.0,3.56,4263.0,3.773333333333333,0.0227333333333334,4456.0,3.520581496405151
M,M30,1013.0,3.3766666666666665,2035.0,3.4066666666666667,3099.0,3.546666666666667,4250.0,3.8366666666666656,0.0304000000000001,4462.0,3.5253219562297544
M,M20,1029.0,3.43,2063.0,3.4466666666666668,3131.0,3.56,4282.0,3.8366666666666656,0.0266666666666667,4483.0,3.541913565615865
M,M30,1035.0,3.45,2063.0,3.4266666666666667,3133.0,3.566666666666667,4284.0,3.8366666666666656,0.0260000000000001,4490.0,3.5474441020779017
M,M20,1035.0,3.45,2063.0,3.4266666666666667,3133.0,3.566666666666667,4290.0,3.856666666666667,0.0272,4496.0,3.552184561902505
M,M30,1036.0,3.453333333333333,2064.0,3.4266666666666667,3134.0,3.566666666666667,4292.0,3.86,0.0272,4505.0,3.5592952516394094
K,K20,1038.0,3.46,2077.0,3.4633333333333334,3163.0,3.62,4313.0,3.8333333333333335,0.0255333333333334,4520.0,3.571146401200917
M,M30,1037.0,3.4566666666666666,2080.0,3.4766666666666666,3166.0,3.62,4320.0,3.8466666666666662,0.0262666666666667,4533.0,3.5814173974875563
M,M30,1013.0,3.3766666666666665,2035.0,3.4066666666666667,3133.0,3.66,4326.0,3.9766666666666666,0.0410666666666666,4539.0,3.5861578573121595
M,M40,1037.0,3.4566666666666666,2080.0,3.4766666666666666,3153.0,3.5766666666666667,4338.0,3.95,0.0316,4550.0,3.594848700323932
M,M40,1039.0,3.4633333333333334,2079.0,3.466666666666667,3166.0,3.6233333333333335,4338.0,3.9066666666666663,0.0297333333333333,4561.0,3.603539543335704
M,M30,994.0,3.313333333333333,1994.0,3.333333333333333,3069.0,3.583333333333333,4358.0,4.296666666666667,0.064,4574.0,3.613810539622344
M,M40,1039.0,3.4633333333333334,2078.0,3.4633333333333334,3166.0,3.6266666666666665,4359.0,3.9766666666666666,0.0340666666666667,4575.0,3.6146006162597777
M,M30,1062.0,3.54,2119.0,3.523333333333333,3213.0,3.646666666666667,4372.0,3.8633333333333337,0.0218666666666667,4578.0,3.616970846172079
M,M30,1035.0,3.45,2062.0,3.4233333333333333,3167.0,3.683333333333333,4363.0,3.9866666666666655,0.0374,4580.0,3.6185509994469465
M,M30,994.0,3.313333333333333,2017.0,3.41,3109.0,3.64,4368.0,4.196666666666667,0.0576,4602.0,3.635932685470491
K,K30,1038.0,3.46,2080.0,3.4733333333333336,3188.0,3.693333333333333,4391.0,4.01,0.0374,4614.0,3.645413605119697
M,M40,1038.0,3.46,2080.0,3.4733333333333336,3187.0,3.69,4391.0,4.013333333333334,0.0375333333333334,4616.0,3.6469937583945646
M,M30,1037.0,3.4566666666666666,2089.0,3.506666666666667,3212.0,3.743333333333333,4407.0,3.983333333333333,0.0363333333333333,4623.0,3.6525242948566015
M,M20,1100.0,3.6666666666666665,2171.0,3.57,3270.0,3.6633333333333336,4420.0,3.8333333333333335,0.0118666666666668,4626.0,3.654894524768903
M,M30,1035.0,3.45,2091.0,3.52,3213.0,3.74,4427.0,4.046666666666667,0.0402,4643.0,3.668325827605278
M,M40,1094.0,3.646666666666667,2168.0,3.58,3283.0,3.716666666666667,4466.0,3.943333333333333,0.0205333333333333,4680.0,3.6975586631903297
M,M50,1071.0,3.57,2142.0,3.57,3260.0,3.7266666666666666,4477.0,4.056666666666667,0.0323333333333333,4698.0,3.7117800426641385
M,M30,1093.0,3.643333333333333,2171.0,3.5933333333333333,3285.0,3.713333333333333,4493.0,4.026666666666666,0.0254000000000001,4709.0,3.720470885675911
M,M30,1071.0,3.57,2144.0,3.5766666666666667,3260.0,3.72,4492.0,4.1066666666666665,0.0350666666666667,4725.0,3.733112111874852
M,M20,1095.0,3.65,2180.0,3.6166666666666663,3314.0,3.78,4513.0,3.996666666666667,0.0240666666666667,4735.0,3.741012878249191
M,M40,1039.0,3.4633333333333334,2125.0,3.62,3282.0,3.856666666666667,4540.0,4.193333333333333,0.0485333333333333,4765.0,3.764715177372205
M,M30,1105.0,3.683333333333333,2203.0,3.66,3344.0,3.803333333333333,4568.0,4.08,0.0266666666666667,4786.0,3.781306786758316
M,M40,1101.0,3.67,2191.0,3.633333333333333,3343.0,3.84,4576.0,4.11,0.0305333333333334,4790.0,3.7844670933080513
M,M30,1092.0,3.64,2192.0,3.6666666666666665,3342.0,3.8333333333333335,4573.0,4.1033333333333335,0.0311333333333333,4794.0,3.787627399857786
M,M30,1148.0,3.826666666666666,2258.0,3.7,3394.0,3.786666666666666,4594.0,4.0,0.0121333333333334,4796.0,3.789207553132654
M,M30,1102.0,3.673333333333333,2194.0,3.64,3338.0,3.8133333333333335,4578.0,4.133333333333334,0.0310666666666667,4799.0,3.791577783044956
M,M30,1127.0,3.756666666666667,2217.0,3.633333333333333,3365.0,3.826666666666666,4593.0,4.093333333333333,0.0240666666666666,4816.0,3.8050090858813306
M,M30,1102.0,3.673333333333333,2174.0,3.5733333333333333,3322.0,3.826666666666666,4587.0,4.216666666666667,0.0376666666666667,4817.0,3.8057991625187646
M,M40,1147.0,3.823333333333333,2245.0,3.66,3389.0,3.8133333333333335,4610.0,4.069999999999999,0.0178666666666667,4825.0,3.812119775618235
M,M30,1036.0,3.453333333333333,2068.0,3.44,3211.0,3.81,4569.0,4.526666666666667,0.0718000000000001,4834.0,3.81923046535514
M,M20,1101.0,3.67,2196.0,3.65,3339.0,3.81,4602.0,4.21,0.0356000000000001,4834.0,3.81923046535514
M,M30,1072.0,3.5733333333333333,2170.0,3.66,3328.0,3.86,4596.0,4.226666666666667,0.0432,4836.0,3.820810618630007
M,M30,1062.0,3.54,2160.0,3.66,3326.0,3.8866666666666654,4612.0,4.286666666666666,0.0493333333333334,4836.0,3.820810618630007
K,K30,1072.0,3.5733333333333333,2170.0,3.66,3328.0,3.86,4604.0,4.253333333333333,0.0448,4840.0,3.823970925179743
M,M40,1124.0,3.746666666666667,2227.0,3.6766666666666663,3384.0,3.856666666666667,4613.0,4.096666666666667,0.0246,4841.0,3.8247610018171767
M,M40,1124.0,3.746666666666667,2245.0,3.7366666666666655,3404.0,3.8633333333333337,4622.0,4.06,0.0213333333333332,4844.0,3.8271312317294783
M,M30,1128.0,3.76,2235.0,3.69,3378.0,3.81,4621.0,4.1433333333333335,0.0254,4851.0,3.8326617681915143
M,M40,1093.0,3.643333333333333,2176.0,3.61,3327.0,3.8366666666666656,4612.0,4.283333333333333,0.0429333333333334,4852.0,3.8334518448289487
M,M40,1107.0,3.69,2223.0,3.72,3381.0,3.86,4635.0,4.180000000000001,0.0322000000000001,4858.0,3.838192304653552
M,M20,1129.0,3.7633333333333336,2243.0,3.713333333333333,3403.0,3.8666666666666663,4645.0,4.14,0.0256666666666667,4861.0,3.840562534565853
M,M30,1094.0,3.646666666666667,2178.0,3.6133333333333337,3334.0,3.853333333333333,4630.0,4.319999999999999,0.0452,4865.0,3.843722841115589
M,M40,1134.0,3.78,2241.0,3.69,3400.0,3.8633333333333337,4642.0,4.14,0.0250666666666667,4865.0,3.843722841115589
M,M20,1128.0,3.76,2237.0,3.6966666666666663,3401.0,3.88,4644.0,4.1433333333333335,0.0266666666666667,4869.0,3.846883147665324
M,M40,1135.0,3.783333333333333,2263.0,3.76,3415.0,3.84,4641.0,4.086666666666667,0.0198000000000001,4872.0,3.849253377577625
M,M40,1094.0,3.646666666666667,2187.0,3.643333333333333,3350.0,3.8766666666666665,4643.0,4.3100000000000005,0.0444666666666667,4877.0,3.8532037607647935
